Nome da Embarca__o;N_mero de Inscri__o no RGP (PPP ou RAEP);N_mero de Inscri__o na Marinha do Brasil;AB;Comprimento;Propuls_o;HP;Capacidade do Por_o;Volume do Tanque;Tripula__o;N_mero de Covos;Status;UF;N_mero da Frota;C_digo IN;Petrecho;Ano de Constru__o
SUCURY;SE00331160;2610110383;19;11,7;Motor;120;;5000;3;;Deferida;SE;3.02.005;3.5;3. Rede de Arrasto;2017
SUDOESTE;SP00038121;4010258977;13,3;12;Motor;153;;;4;;Deferida;SP;3.03.001;3.6;3. Rede de Arrasto;1976
SUECIA II;RJ00099071;3830010621;0,93;7;Motor;5;;;3;;Deferida;RJ;6.03.001;6.6;6. Diversificada;1956
SUEDE;SC00178198;4418892877;2;8,77;Motor;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1998
SUELE;SC00052941;4430121664;2,1;8,7;Motor;11;;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1998
SUELEM;SC00060418;4410160401;2,1;9,4;Motor;24;;;4;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1992
SUELEN;CE00096467;1620016702;9,6;10,15;Motor;64;;;4;250;Deferida;CE;5.01.003;5.2;5. Armadilha;1988
SUELEN;SC00163949;441M2004002099;;4,4;Remo;;;;4;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2002
SUELEN;SC00308211;441M2017005519;1;5;Remo;;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2013
SUELEN;SP00082958;4420133368;1,4;8,78;Motor;22;;;2;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1983
SUELEN I;SC00157556;442M2007001622;;5,9;Remo;;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2006
SUELEN SANTOS;SC00060438;4410452690;1;8,2;Motor;90;0,9;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;2006
SUELI;SC00082944;4430065624;1,6;7,9;Motor;9;1,4;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1981
SUELI;SC00320201;4410167286;0,6;6,1;Remo;;0,4;;2;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;1998
SUELI MOURA;RJ00140425;3810515680;0,7;8;Motor;10;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2001
SUELLEN I;RJ00121357;381M2009007863;0,7;6;Motor;10;;;1;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2008
SUELY;BA00265488;2930000643;2,4;7,45;Motor;;;;;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1981
SUETAM I;SP00111366;4040061837;5;9,4;Motor;22;;300;2;;Deferida;SP;2.04.001;2.4;2. Rede de Emalhe;1987
SUEZ I;SP00082928;4010739096;0,9;5,5;Motor;15;;;1;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1992
SUEZ I;SP00337548;401M2007012492;0,9;5,5;Motor;15;;;1;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1992
SUEZ II;SP00143627;401M2007001148;;6;Motor;11;;;3;;Deferida;SP;6.03.001;6.6;6. Diversificada;2006
SUI DE SALVATERRA;PA00130974;210314940;2,9;7,9;Motor;18;;;3;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2007
SUILAYNE;SC00048188;4430108943;19;14,27;Motor;100;;250;4;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1999
SUIOCCI;SP00073301;4030092756;2,93;7;Motor;10;;50;4;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1977
SUKITA;RJ00198948;386M2012000549;0,5;4,6;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;1998
SULA II;SP00082916;4030126928;1,9;7,7;Motor;60;;600;2;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1982
SUL AMERICA;RJ00082908;3870059095;8;10;Motor;30;;;3;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;1999
SUL AMERICA V;RJ00082896;3877046894;11;12,8;Motor;;;;3;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;2004
SULAMITA;CE00037347;161M2009001246;0,25;5,05;Vela;;;;4;60;Deferida;CE;5.01.004;5.3;5. Armadilha;1984
SULAMITA II;CE00031957;1620014793;1,8;6,57;Vela;;;;3;80;Deferida;CE;5.01.004;5.3;5. Armadilha;1985
SULIPE I;SC00078377;4430118604;2,2;8,04;Motor;18;;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;2005
SULIVANE;CE00025190;163M2007000298;;7,14;Vela;;;;4;110;Deferida;CE;5.01.004;5.3;5. Armadilha;1990
SULMAR;SC00047678;4420117958;0,6;8,35;Motor;11;;150;;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1979
SULMAR;SC00167915;4430087555;0,7;6;Motor;9;0,7;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1986
SUL MAR_ I;RJ00121307;3868893466;8;9,44;Motor;58;;;1;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;2006
SULMAR I;ES00154610;3870052741;3,4;7,7;Motor;;;;4;;Deferida;ES;1.06.001;1.14;1. Linha;1985
SUL PESCA;SP00082888;4010211482;0,5;7,2;Motor;;;;;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1972
SUMAKA II;PA00130114;220063621;;10;Motor;49;;;;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2004
SUMAR;SC00112996;4410101170;3,9;9;Motor;18;;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1975
SUMIKA YAMAZAK;SC00300909;4410116410;1,5;8;Motor;15;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1980
SUMITICA;SP00218841;4030171311;1,4;6,61;Motor;166;;;1;;Deferida;SP;1.06.001;1.14;1. Linha;1988
SUNAMITA;RJ00094807;3860007831;0,65;5;Motor;13;;;1;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;1985
SUN BEAM I;ES00126895;4430067732;12,7;12,6;Motor;115;;5316;4;;Deferida;ES;1.05.001;1.13;1. Linha;1982
SUNNY DAY;SC00060870;4420205806;3,9;9,6;Motor;60;;900;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;2005
SUNSHINE;SC00060468;4420186135;4,4;8,4;Motor;22;;;1;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1999
SUNSHINE;SP00330580;401M2020009734;;4,8;Motor;6;;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;2020
SUNSHINE;ES00119134;3410385771;6,8;10,07;Motor;140;;2000;2;;Deferida;ES;3.02.002;3.9;3. Rede de Arrasto;1999
SUNSHINE IX;ES00124659;3420053053;23;14,68;Motor;200;;6000;15;;Deferida;ES;1.01.002;1.1;1. Linha;1998
SUPERAGUI I;PR00290557;421M2011000147;;5,9;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2010
SUPER BACANA II;SC00186747;4610032856;5,7;9;Motor;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;
SUPER COMANDO;RJ00082874;3870060557;7;10,5;Motor;90;;;3;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;2000
SUPER FANT_STICO;RS00197264;4630030999;31;13,44;Motor;105;;;4;;Deferida;RS;2.04.001;2.4;2. Rede de Emalhe;1984
SUPERSONICO;SC00304165;4418918361;1;5,34;Motor;5;;;;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2012
SUPER VEDITO;CE00032815;1610062345;1;5,74;Vela;;;;4;80;Deferida;CE;5.01.004;5.3;5. Armadilha;2002
SURF;SP00320099;401M2018000052;;5;Motor;15;;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;2017
SURFISTA;PA00097387;210988592;6;9;Motor;18;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2011
SURFISTA;BA00249128;2818892562;2;8,19;Motor;;;;1;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2010
SURFISTA;SC00329077;441M2021002919;1;6,14;Motor;11;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2020
SURFISTA;SE00002258;2610016069;19,7;12,45;Motor;90;;4000;4;;Deferida;SE;3.02.005;3.5;3. Rede de Arrasto;1995
SURFISTA II;SE00070321;2610075731;18,9;12,7;Motor;120;;4000;4;;Deferida;SE;3.02.005;3.5;3. Rede de Arrasto;1995
Suriname;ES00113674;3410242376;7;9,81;Motor;;;;4;;Deferida;ES;2.04.001;2.4;2. Rede de Emalhe;2007
SURPRESA C;SC00190864;443M2013002827;;7,8;Remo;;;;5;;Deferida;SC;6.08.001;6.8;6. Diversificada;2002
SURUBIM;SP00160919;4039128222;1,94;7;Motor;10;;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;2006
SURUME II;SP00270765;401M2001045315;;5;Remo;;;;2;;Deferida;SP;6.03.001;6.6;6. Diversificada;1994
SUSAMAR;RJ00117988;3830095155;0,6;6,16;Motor;5,5;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;1998
SUSAN;SP00082860;4210230821;7,2;9;Motor;24;;;1;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1986
