Nome da Embarca__o;N_mero de Inscri__o no RGP (PPP ou RAEP);N_mero de Inscri__o na Marinha do Brasil;AB;Comprimento;Propuls_o;HP;Capacidade do Por_o;Volume do Tanque;Tripula__o;N_mero de Covos;Status;UF;N_mero da Frota;C_digo IN;Petrecho;Ano de Constru__o
GAIVOTA;RN00028790;181M2007003511;0,4;4,2;Vela;;;;3;30;Deferida;RN;5.01.004;5.3;5. Armadilha;2001
GAIVOTA;PB00035395;201M2006000130;;4,5;Motor;8;0;100;4;30;Deferida;PB;5.01.004;5.3;5. Armadilha;1977
GAIVOTA BRANCA;AL00266394;241M2008001137;;5;Remo;;;;2;;Deferida;AL;6.03.003;6.5;6. Diversificada;2007
GAIVOTA DA PRAIA;CE00035415;1630032905;1,8;9,13;Vela;;;;5;110;Deferida;CE;5.01.004;5.3;5. Armadilha;1991
GAIVOTA DA VIGIA 2;PA00104031;210282223;6,7;10,69;Motor;49;;;3;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2001
GAIVOTA DA VIGIA I;PA00104027;210273038;5,3;10,27;Motor;45;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;1998
GAIVOTA DE DEUS;RJ00240068;4030149154;5,7;8;Motor;30;;;2;;Deferida;RJ;3.03.001;3.6;3. Rede de Arrasto;1986
GAIVOTA DO MAR;SP00130838;4040051955;;6,64;Remo;;;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;1971
GAIVOTA DO MAR;PR00152366;421M2008007133;;4,97;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2008
Gaivota do Mar II;SP00165427;4210261441;3;9,5;Motor;;;;2;;Deferida;SP;2.04.001;2.4;2. Rede de Emalhe;1993
GAIVOTA DO MAR III;SP00037231;4420186984;3,5;8,5;Motor;18;;25;;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1999
GAIVOTA F;SC00289520;4450097157;0,5;5,5;Remo;;0,6;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2004
GAIVOTA-FL;CE00262338;162M2015000081;;4,35;Vela;;;;4;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;2003
GAIVOTA FW;CE00315508;1620024047;5;9,6;Motor;49;;;3;;Deferida;CE;1.03.005;1.6;1. Linha;2015
GAIVOTA I;SC00197454;443M2009040419;;5,8;Motor;8;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2007
GAIVOTA I;SC00322817;4418925295;1;7,7;Motor;18;0,62;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2020
GAIVOTA I;SC00324565;4450101065;0,5;7,64;Motor;7,5;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1973
GAIVOTA I;CE00035401;161M2007005691;;4,75;Vela;;;;3;30;Deferida;CE;5.01.004;5.3;5. Armadilha;2000
GAIVOTA - I;RN00301077;1830055992;0,9;6,6;Vela;;;;3;;Deferida;RN;6.03.003;6.5;6. Diversificada;1979
GAIVOTA II;ES00252967;3410235388;8,9;10,75;Motor;96;;;5;;Deferida;ES;1.02.001;1.3;1. Linha;2002
GAIVOTA II;SC00196514;442M2012001355;;4,8;Remo;;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2012
GAIVOTA III;PR00115588;421M2009081651;;5,7;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2005
GAIVOTA III;SC00160077;4410161440;0,3;5,3;Motor;11;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1994
GAIVOTA IV;CE00263716;1610067312;6;8,82;Motor;51;;;;;Deferida;CE;6.01.001;6.1;6. Diversificada;2010
GAIVOTA IV;RJ00204278;386M2011001065;;5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2001
GAIVOTA IV;CE00028808;1610061713;2;6,8;Vela;;;;5;80;Deferida;CE;5.01.004;5.3;5. Armadilha;2000
GAIVOTA J;SC00295627;445M2016000228;0,5;4,3;Motor;4;;;3;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2014
GAIVOTA J;SC00281608;4451116791;2;6,9;Motor;18;;;5;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2015
GAIVOTA-JF;CE00257817;1620023768;2;7,1;Motor;30;;;4;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;2014
GAIVOTA KRUTZSCH;SC00162655;442M2005003315;;4,6;Motor;6;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1985
GAIVOTA KRUTZSCH II;SC00303827;442M2016003391;2;6;Motor;15;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2013
GAIVOTA M;SC00156440;443M2009040508;;4,8;Remo;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2008
GAIVOTAO;AL00222110;2412224200;2,5;8,5;Motor;40;;;3;;Deferida;AL;3.02.005;3.5;3. Rede de Arrasto;2008
GAIVOTA PP;PA00115130;210316594;5,2;12,84;Motor;18;;800;;;Deferida;PA;2.04.004;2.12;2. Rede de Emalhe;2007
GAIVOTA RANGEL;RJ00165697;3877049966;0,6;6,7;Motor;18;0,3;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2011
GAIVOTA SEIS;CE00253465;1630038041;2,3;7,58;Vela;;;;;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;2000
GAIVOTA SERENA;SC00171974;442M2006001002;;4,2;Remo;;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2005
GAIVOTA V;RJ00151798;387M2012001034;;4;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2010
GAIVOTA V;SC00226136;442M2005004869;;4,9;Remo;;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2005
GAIVOTA V;SP00126881;4430081204;1,34;7,4;Motor;13;;200;;;Deferida;SP;6.03.001;6.6;6. Diversificada;1984
GAIVOTA VI;SC00179678;4451112885;6;11,45;Motor;60;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2012
GAIVOTA VI;PR00145461;421M2008002735;;6,9;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2006
GAIVOTA X;SC00199410;442M2005004915;;5;Motor;;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2001
GAIVOTA X;SC00055827;4410147251;7,1;8,8;Motor;22;;;6;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;1987
GAIVOTA X;CE00028810;161M2005001157;;5,5;Motor, Vela;50;;;4;60;Deferida;CE;5.01.004;5.3;5. Armadilha;2005
GAIVOTA XII;CE00028824;161M2007004288;;4,12;Vela;;;;3;30;Deferida;CE;5.01.004;5.3;5. Armadilha;1996
GAIVOTA XIV;PR00078435;4211492004;;7,94;Motor;7;;;2;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;2003
GAIVOTA XV;PR00116708;421M2010001062;;7,17;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2005
GAIVOTA XVI;AL00227828;2210058856;10,5;11,1;Motor;67;;100;3;;Deferida;AL;3.02.005;3.5;3. Rede de Arrasto;1974
GAIVOTA XVII;SC00196776;4418898590;0,5;5,6;Motor;5,5;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2010
GAIVOTA XVII;SC00333088;4418926895;1;8,75;Remo;;;;6;;Deferida;SC;6.08.004;6.11;6. Diversificada;
GAIVOTA XXI;SC00221908;338670696;;5;Motor;;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2005
GAIVOTINHA;PR00117340;421M2008005777;;4,3;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2005
GALA;SC00147185;443M2008002177;;7,5;Motor;9;;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;
GALAPAGOS;RJ00119458;3877041680;6,9;10,5;Motor;90;;;3;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;2003
GALAPAGOS;SC00055847;4430119341;9,5;9,33;Motor;60;;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;2000
GALATAS I;SC00055851;4450085060;7,6;8,15;Motor;90;;;3;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2002
GALE;SC00055865;4410170431;2,9;9,1;Motor;8;;;4;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1999
GALEAO;BA00004208;4010230924;15,7;12;Motor;60;;4394;4;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1974
GALEAO;SC00055877;4420207761;4,5;10;Motor;45;;40000;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;2005
GALE_O;BA00276021;2930057521;6;7,8;Motor;;;;4;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2013
GALE_O DO CANAL I;SC00068448;4410455958;15;10,87;Motor;120;;;8;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2006
GALEAO I;BA00002018;1610052781;20;14,6;Motor;115;;8422;5;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1986
GALEAO II;SC00183171;4420222239;1,9;9;Motor;50;;100;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2009
GALE_O PIRATA;SC00059639;4410096176;1,9;9;Motor;11;;;6;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1973
GALEGA I;SC00055889;4420129140;0,8;8,6;Motor;11;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1971
GALEGO I;SC00191106;4410459074;2;7,86;Motor;24;;;6;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2008
GALEGO II;BA00229856;2930057165;2;6,95;Motor;11;;;4;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2013
GALERA;PA00101609;1610029721;17,3;11;Motor;;24,2;5000;4;;Deferida;PA;1.04.001;1.8;1. Linha;1970
GALERA DO MAR;SC00345019;4420179287;2,7;8,8;Motor;18;;;1;;Deferida;SC;4.01.002;4.4;4. Rede de Cerco;1997
GALERA I;PR00094319;4211458515;;8;Motor;11;;;1;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;1999
GALES;SC00194458;443M2011001707;;4,4;;;;;2;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2006
GALHETA;SC00178408;4450018737;1,6;8,5;Remo;;;;6;;Deferida;SC;6.08.001;6.8;6. Diversificada;1966
GALHETA B I;SC00179904;4430477221;1;8,5;Remo;;;;6;;Deferida;SC;6.08.002;6.9;6. Diversificada;2005
GALHETA I;SC00189359;4450101324;1;8,81;Motor;24;;;6;;Deferida;SC;6.08.002;6.9;6. Diversificada;2008
GALHETA II;SC00336300;441M2022003150;1;7,98;Remo;;;;6;;Deferida;SC;6.08.004;6.11;6. Diversificada;2022
GALICIA XX;CE00035939;161M2005000592;;6,13;Vela;;;;5;110;Deferida;CE;5.01.004;5.3;5. Armadilha;2005
GALILEIA;SC00162667;442M2006003315;;6;Motor;13;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2006
GALILEIA;SC00200966;442M2009002327;;5,2;Remo;;;;4;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2009
GALILEIA;SC00042228;4430104662;3,4;9,1;Motor;13;;150;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1994
GALILEIA;PR00078447;4210220485;3,1;9;Motor;24;;;1;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;1985
GALILEIA;SC00176996;442M2010003960;;6;Motor;15;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2010
GALILEIA;SC00341611;442M2022005041;1,99;4,2;Motor;18;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2019
GALILEIA;SP00126845;4030221777;;9,13;Motor;11;;;7;;Deferida;SP;2.04.001;2.4;2. Rede de Emalhe;2001
GALIL_IA;SC00187231;4440019242;;7,5;Motor;;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1977
GALILEIA DO MAR;CE00028838;1630042196;2,2;8,5;Vela;;;;5;110;Deferida;CE;5.01.004;5.3;5. Armadilha;2005
GALILEIA I;RN00017869;1810052572;5;8,9;Motor;15;;;5;200;Deferida;RN;5.01.005;5.4;5. Armadilha;1998
GALILEIA I;SP00078459;4010014423;13,1;13,5;Motor;152;;;4;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1939
GALIL_IA II;MA00218785;1430055766;12,4;10;Remo;60;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;1983
GALILEIA IV;SC00286590;4420233141;1,4;6,9;Motor;15;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2014
GALILEIA JB;CE00251357;162M2014000871;;3,76;Vela;;;;3;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;2013
GALILEIA JM;SC00058517;4410151959;5,1;9,7;Motor;60;;;6;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1989
GALILEIA S;SP00005324;4430084548;9,2;10;Motor;85;;12000;4;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1986
Galileia V;MA00128707;1210114682;3;7,83;Motor;18;;50;2;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;1999
GALILEIA VI;MA00221826;1210131544;1,5;7;Motor;14;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2008
GALILEU;BA00186735;2930032103;8;8,7;Motor;18;;30;;;Deferida;BA;3.00.000;null;3. Rede de Arrasto;2008
GALILEU;SC00078467;4430063991;4,2;8,7;Motor;36;;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1980
GALILEU;RJ00312594;388M2018000759;0,35;5,1;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2015
GALILEU;SC00313068;441M2017004423;1;6,36;Motor;9;;;;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2007
GALILEU;SC00325239;4430498601;1;7,55;Motor;18;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2016
GALILEU;SC00061570;4450085990;4;8,2;Motor;33;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2004
GALILEU BOAT;SC00222294;442M2011001827;;6,21;Motor;;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2011
GALILEU DE SOURE I;PA00103357;210305444;4,3;11,7;Motor;46;;;3;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2004
GALILEU DE SOURE II;PA00141175;210997702;3;8;Motor;16;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2009
GALILEU DE SOURE III;PA00103345;210990562;4;11,4;Motor;114;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2009
GALILEU DE SOURE IV;PA00141187;210997711;3;9;Motor;18;;;;;Deferida;PA;1.03.004;1.5;1. Linha;2010
GALILEU DE SOURE V;PA00141199;210997729;6;11;Motor;18;;;2;;Deferida;PA;1.03.004;1.5;1. Linha;2012
GALILEU I;SP00171890;3860010026;5;9;Motor;;;;2;;Deferida;SP;2.04.001;2.4;2. Rede de Emalhe;1989
GALILEU I;SC00236305;4420154454;;6,5;Remo;;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1988
GALILEU JS;CE00028846;161M2006001700;;8;Vela;;;;5;110;Deferida;CE;5.01.004;5.3;5. Armadilha;2002
GALILEU S;SC00043746;4430081522;23;15;Motor;155;;;6;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1985
GALINHA DO MAR;RN00095759;181M2007000792;;5;Vela;;;;3;30;Deferida;RN;5.01.004;5.3;5. Armadilha;1998
GALINHO;SC00334570;441M2021005942;1;4,17;Motor;5;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2016
GALINHO DO MAR;RN00028858;181M2007002973;0,5;4,2;Vela;;;;3;30;Deferida;RN;5.01.004;5.3;5. Armadilha;2005
GALO;SC00155790;4418895752;5;10,18;Motor;60;;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;2000
GALO DE CAMPINA;RN00028860;181M2007003414;0,5;4,37;Motor, Vela;;;;3;30;Deferida;RN;5.01.004;5.3;5. Armadilha;1999
GALO VENCEDOR;SC00041718;4430046867;86;21,9;Motor;325;;35000;4;;Deferida;SC;3.09.001;3.10;3. Rede de Arrasto;1973
GALO VENCEDOR II;SC00041698;4010447150;97;22,85;Motor;375;;35000;7;;Deferida;SC;3.03.001;3.6;3. Rede de Arrasto;1981
GALO VENCEDOR III;SC00010065;4010447141;94;22,75;Motor;350;;40100;6;;Deferida;SC;3.03.001;3.6;3. Rede de Arrasto;1973
GALV_O;RN00277531;1810056489;3;6,86;Motor;18;;;2;;Deferida;RN;2.02.002;2.5;2. Rede de Emalhe;2007
GAMA;SP00089428;4040113659;2,7;7,42;Motor;18;;;3;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1992
GAMBA;CE00034297;1610051301;1,6;6;Vela;;;;5;60;Deferida;CE;5.01.004;5.3;5. Armadilha;1986
GAMBAZINHO;SC00120437;4420209330;3,6;8,4;Motor;11;;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;2006
GAMBES DO MAR;SC00221566;4410446649;2;7,12;Motor;24;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2002
GAMBITEC;SC00154526;443M2008002142;;5;Remo;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2002
GAMEFISHER;SP00055917;4010747536;5,5;12,95;Motor;30;;;1;;Deferida;SP;2.04.001;2.4;2. Rede de Emalhe;1993
GAMELEIRA;RJ00214505;387M2011003401;0,5;5,6;Remo;;0,3;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2010
GANDHAYA;SC00193328;442M2011001223;;4,8;Remo;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2011
GANDHY;RJ00119388;3860011669;2,4;8;Motor;12;;;1;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;1993
GANESHA;RJ00144617;3410232231;2,07;13,89;Motor;120;19;;11;;Deferida;RJ;4.01.002;4.4;4. Rede de Cerco;2001
GANESHA I;SP00078485;4030102174;18;13;Motor;115;11,8;7309;3;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1978
GANHA P_O;RJ00150606;388M2018001411;0,5;5,15;Remo;;0,11;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2005
GANHA PAO I;SC00159906;4450087763;0,4;5,07;Remo;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2005
GAPONGA I;PA00141227;270013580;2,9;12;Motor;18;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;1997
GARANHAO;SC00068174;4450079744;4;9,45;Motor;33;;;;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;1994
GARANH_O;SC00252835;4451113539;0,9;6,53;Motor;9;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2012
GARANHAO II;SC00055921;4450079752;4,5;9,43;Motor;33;4,8;;6;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;1993
GARAPA I;SC00227398;441M2008004954;;5,07;Remo;;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2000
GARAPEVA;SC00309457;4418920498;1;5,95;Motor;5;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;
GARAPIR_;RN00104615;181M2007000822;;4,9;Vela;;;;3;30;Deferida;RN;5.01.004;5.3;5. Armadilha;2001
GARAPU;PB00017877;2010073053;2,4;7;Motor;45;1;50;6;140;Deferida;PB;5.01.001;5.1;5. Armadilha;1996
GARCA;SC00296889;4430056471;0,9;7,65;Remo;;;;3;;Deferida;SC;6.08.001;6.8;6. Diversificada;1977
GAR_A;SC00156060;4410083015;0,6;6,48;Motor;10;;;2;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;1967
GAR_A;SC00171784;441M2006000843;;5;Remo;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1999
GAR_A;SC00204624;4418899324;0,4;5,7;Motor;5;;;2;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;1980
GAR_A;SC00320309;4410448781;1;7;Motor;5;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2004
GAR_A AZUL;SC00296839;4410040936;0,8;6,3;Remo;;0,8;;2;;Deferida;SC;6.08.001;6.8;6. Diversificada;
GARCA DO MAR;RJ00078505;4010433221;2,5;8,4;Motor;11;0,5;;1;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;1957
GARCA-G;SP00078517;4040075056;4,24;8;Motor;14;;;3;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1979
GAR_A II;SC00328315;441M2021004253;1;5,7;Motor;12;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2021
GAR_A III;SC00334584;441M2021004628;1;5,82;Motor;7,5;;;3;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2021
GAR_A X;SC00282500;4450093364;0,3;6,2;Remo;;0,2;;2;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;1965
GARCIA;ES00098479;3420040091;0,4;3,6;Remo;;;;2;;Deferida;ES;6.03.001;6.6;6. Diversificada;1984
GARCIA;SC00344655;441M2023007261;1;6,15;Motor;8,5;;;2;;Deferida;SC;4.01.002;4.4;4. Rede de Cerco;2020
GARCIA;CE00033159;1610060431;1;6,44;Vela;;;;5;80;Deferida;CE;5.01.004;5.3;5. Armadilha;2002
GARCIA II;PA00006666;1610030541;16,5;11,84;Motor;96;;7000;4;300;Deferida;PA;5.01.001;5.1;5. Armadilha;1972
GARCIA LORCA;RJ00038167;3810205001;4,9;20,65;Motor;240;;15000;5;;Deferida;RJ;3.03.001;3.6;3. Rede de Arrasto;1968
GARCIA MAR;ES00103567;3420041969;9,3;10;Motor;108;;;8;;Deferida;ES;1.06.003;1.12;1. Linha;1986
GARCON;SC00178064;4410457322;1;6,16;Motor;10;;12;2;;Deferida;SC;6.03.004;6.7;6. Diversificada;2006
GARDINO;SP00005048;4430045275;14,6;13,05;Motor;270;;7000;4;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1972
GARGALHADA I;SC00296417;4410083881;2,4;9;Remo;;;;2;;Deferida;SC;6.08.001;6.8;6. Diversificada;1985
GARGAMEU;SC00175316;4410453866;1;6,2;Motor;9;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2005
GAROCA;SC00220914;442M2001011555;;4,5;Remo;;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1996
GAROPA;SP00165051;4020339317;0,6;5,9;Motor;25;;;1;;Deferida;SP;2.04.001;2.4;2. Rede de Emalhe;1998
GAROPA;SC00338988;442M2011004796;1,99;5,5;Motor;15;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2011
GAROP_O I;RJ00003530;3810233960;41;20,33;Motor;290;;12000;4;;Deferida;RJ;3.03.001;3.6;3. Rede de Arrasto;1970
GAROP_O II;RJ00038717;3810339628;45;19,57;Motor;220;;13000;5;;Deferida;RJ;3.03.001;3.6;3. Rede de Arrasto;1968
GAROPEIRO I;SC00187137;445M2011000333;;5,89;Motor;7;;;1;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2010
GAROPINHA;SC00194388;442M2007004087;;5,5;Motor;15;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2007
GAROTA;SC00206560;441M2009036503;;5,6;Remo;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2009
GAROTA DO PAPAI;RJ00120941;3870047780;4,63;9,5;Motor;1,55;;;3;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;1982
GAROTA LINDA;SP00004406;4010415967;87,9;20,4;Motor;267;;18000;6;;Deferida;SP;3.03.001;3.6;3. Rede de Arrasto;1980
GAROT_O;SC00324861;4420238224;1,9;9,4;Remo;;;;;;Deferida;SC;4.01.002;4.4;4. Rede de Cerco;2020
GAROTA SAFADA;PA00117770;210318287;6;9,7;Motor;36;;;4;;Deferida;PA;1.03.004;1.5;1. Linha;2007
GAROTINHA;RJ00122367;3830069898;;7,2;Motor;10;;;;;Deferida;RJ;6.03.001;6.6;6. Diversificada;1986
GAROTINHO;ES00192728;3410148329;6,4;11,9;Motor;;;;2;;Deferida;ES;2.02.001;2.2;2. Rede de Emalhe;1992
GAROTINHO TEIMOSO;ES00078529;3410117491;1,7;6,5;Motor;50;;;3;;Deferida;ES;3.02.002;3.9;3. Rede de Arrasto;1983
GAROTO;PA00103901;210291681;6;10,4;Motor;18;;1000;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2002
GAROTO;MA00272557;1210141591;1;8,66;Motor;13;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2004
GAROTO;MA00273707;1210141141;2;8,28;Motor;18;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2002
GAROTO;AL00222660;2410130712;2,5;6,8;Motor;18;;;3;;Deferida;AL;3.02.005;3.5;3. Rede de Arrasto;1983
GAROTO DAS _GUAS;CE00250161;1630039420;2,3;7,65;Vela;;;;;;Deferida;CE;1.03.005;1.6;1. Linha;2002
GAROTO DE SALVATERRA;PA00109209;210292814;3,7;9,2;Motor;16;;;3;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2001
GAROTO I;PA00189371;210271817;4,1;8,54;Motor;15,5;;;3;;Deferida;PA;1.03.004;1.5;1. Linha;1999
GAROTO II;CE00034309;1820023460;2;7,4;Vela;;;;5;110;Deferida;CE;5.01.004;5.3;5. Armadilha;1988
GAROTO-II;BA00221016;2820055851;2,5;7,5;Motor;;;;3;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2002
GAROTO JEZIEL;SC00172658;4420221925;1,4;6;Motor;90;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2009
GAROTO JR;CE00036601;161M2006000282;;5,3;Vela;;;;4;60;Deferida;CE;5.01.004;5.3;5. Armadilha;2004
GAROTOS;SC00325917;441M2021000894;1;5,65;;15;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2021
GAROUPA;SC00227956;4410446363;2;5,5;Motor;7;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2003
GAROUPA;SP00254949;403M2002005230;;4,8;Motor;7,5;;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;1981
GAROUPA;PA00011821;210282011;19,7;12,52;Motor;180;17;8000;6;;Deferida;PA;1.09.002;1.9;1. Linha;1999
GAROUPA 2;SC00162299;4450059123;2,8;7,9;Motor;22;;;6;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;1983
Garoupa I;PR00143937;421M2008004444;;4,7;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2006
GAROUPA I;PE00214111;2210166110;1;8,5;Motor;45;;;3;;Deferida;PE;3.02.005;3.5;3. Rede de Arrasto;2009
GAROUPA II;SC00246788;4418909761;1;6,94;Motor;9;;;2;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2009
GAROUPA III;PA00006334;210286598;16,6;11,4;Motor;60;;4455;3;;Deferida;PA;1.09.002;1.9;1. Linha;1999
GAROUPA IV;PA00006298;210282029;15,8;12;Motor;124;;9207;3;;Deferida;PA;1.03.004;1.5;1. Linha;1999
GAROUPA V;PA00006384;210296801;10,9;10,8;Motor;84;;16706;4;;Deferida;PA;1.09.002;1.9;1. Linha;2003
